add device 1: /dev/input/event4
  name:     "grip_sensor_wifi"
add device 2: /dev/input/event0
  name:     "meta_event"
add device 3: /dev/input/event5
  name:     "Exynos9610-Audio Headset Jack"
add device 4: /dev/input/event3
  name:     "grip_sensor"
add device 5: /dev/input/event8
  name:     "wacom_hall"
add device 6: /dev/input/event7
  name:     "hall"
add device 7: /dev/input/event1
  name:     "sec_touchscreen"
add device 8: /dev/input/event6
  name:     "gpio_keys"
add device 9: /dev/input/event2
  name:     "sec_e-pen"
[   32975.842910] /dev/input/event3: EV_REL       REL_MISC             00000002            
[   32975.842910] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000000f            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000000f            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000000f            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002fe            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000075c            
[   32976.591527] /dev/input/event1: EV_ABS       ABS_MT_TRACKING_ID   000010c7            
[   32976.591527] /dev/input/event1: EV_KEY       BTN_TOUCH            DOWN                
[   32976.591527] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.599877] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   32976.599877] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000001c            
[   32976.599877] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000001c            
[   32976.599877] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.608225] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000027            
[   32976.608225] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000027            
[   32976.608225] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000027            
[   32976.608225] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.616494] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000031            
[   32976.616494] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000031            
[   32976.616494] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000031            
[   32976.616494] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.624847] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000039            
[   32976.624847] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000039            
[   32976.624847] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000039            
[   32976.624847] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.633191] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[   32976.633191] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000040            
[   32976.633191] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000040            
[   32976.633191] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32976.641422] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000047            
